Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
1009,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT DOWNSTREAM PONG DAM""",Himachal Pradesh,14,23,20,5,9.9,8,7.6,8.3,8,141,254,177,0.1,1.1,0.5,0.04,0.61,0.4,2,14,7,8,140,92,NA,NA,NA
1693,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT TALWARA H/W""",Punjab,12,16,15,7.4,8,8,7.2,7.8,8,280,290,285,0.2,0.4,0,0.6,1,0.8,0,11,3,50,50,50,NA,NA,NA
1694,"""WATER QUALITY OF RIVER- BEAS""","""UPSTREAM PATHANKOT""",Punjab,18,18,18,6.6,7.8,7,7.3,7.9,8,310,322,316,0.8,1.2,1,1,2.2,1.6,90,100,95,500,500,500,NA,NA,NA
1695,"""WATER QUALITY OF RIVER- BEAS""","""UPSTREAM PATHANKOT""",Punjab,10,18,15,6.8,7.6,7,6.8,7.5,7,303,366,334,0.9,1.5,1,1,2.6,2,110,300,158,500,900,600,NA,NA,NA
1010,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT MIRTHAL BRIDGE- GURDASPUR""",Punjab,13,17,15,7.2,8.8,8,7.2,8,8,74,303,177,0.2,0.8,0.5,0.04,1.4,0.6,11,110,66,170,1600,662,NA,NA,NA
1294,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT 1KM.DOWNSTREAM OF EFFL. DISH. POINT AT MUKERIAN""",Punjab,9,19,14,6.7,7.6,7,6.5,7.8,7,286,366,334,0.4,1.2,1,0,1.8,1,110,500,370,50,1100,738,NA,NA,NA
1011,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA""",Punjab,8,19,14,7.2,7.4,7,7.2,7.6,7,303,327,317,0.7,1,0.8,1.4,2.2,1.8,90,200,133,500,700,567,NA,NA,NA
1696,"""WATER QUALITY OF RIVER- BEAS""","""UPSTREAM GOINDWAL""",Punjab,9,19,16,6.4,7.2,7,6.9,7.6,7,298,319,310,0.4,1,1,1.4,1.8,2,90,300,180,500,900,650,NA,NA,NA
1012,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT 100M DOWNSTREAM INDUST. DISCH. GOINDWAL""",Punjab,10,21,17,6,7.2,7,7.2,7.7,7,312,327,320,0.2,1.2,0.7,1.4,2.6,1.8,110,300,185,500,1000,725,NA,NA,NA
1697,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT HARIKE""",Punjab,10,20,16,6.6,7.2,7,7.2,7.7,8,300,312,304,0.6,0.8,1,1,2.2,1.5,90,220,130,500,700,550,NA,NA,NA
2601,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT DOWNSTREAM MANALI""",Himachal Pradesh,3.5,14,10,8.2,9.6,9,6.7,8.1,8,49,99,74,0.1,0.5,0.2,0.2,0.95,0.4,11,920,189,130,2400,889,NA,NA,NA
2602,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT UPSTREAM KULLU""",Himachal Pradesh,5.4,15,10,8.1,9.8,9,7.2,8.2,8,67,278,114,0.1,0.5,0.2,0.04,0.85,0.3,22,540,130,220,2400,990,NA,NA,NA
2603,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT DOWNSTREAM PANDOH DAM""",Himachal Pradesh,6,17.5,14,7.9,12.5,9,7.1,8.4,8,54,159,96,0.1,0.3,0.2,0.01,0.98,0.5,7,240,62,49,1600,606,NA,NA,NA
1867,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ B/C WITH RIVER SPITI ATKHAB- DISTT.KINNAUR""",Himachal Pradesh,1.8,8,6,5.8,9.3,8,7.7,8.5,8,202,372,288,0.1,1.2,0.3,0.03,0.27,0.1,4,350,63,4,2400,493,NA,NA,NA
2611,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT KHAB""",Himachal Pradesh,1.8,8,6,5.9,9.2,8,7.9,8.5,8,204,345,268,0.1,1.8,0.4,0.03,0.25,0.1,2,540,76,7,2400,421,NA,NA,NA
1389,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT NEPTHA ZAKHAI""",Himachal Pradesh,2.6,8,6,6.7,9.4,9,7.8,8.4,8,97,348,208,0.1,0.4,0,0.01,0.51,0,2,220,85,11,2400,1020,NA,NA,NA
1086,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT UPSTREAM RAMPUR""",Himachal Pradesh,3.3,8,7,6.4,9.4,8,7.7,8.4,8,100,279,209,0.1,3.2,0.6,0.01,0.8,0.3,4,540,126,8,2400,846,NA,NA,NA
1087,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT DOWNSTREAM RAMPUR""",Himachal Pradesh,3.3,8.5,7,6.1,9.2,8,8,8.4,8,133,281,219,0.2,2.6,0.7,0.03,0.67,0.2,2,920,204,18,2400,857,NA,NA,NA
1013,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT UPSTREAM TATAPANI""",Himachal Pradesh,6,10,8,6.5,9.7,8,7.7,8.4,8,87,1022,355,0.2,1.1,0.4,0.02,0.88,0.3,4,240,89,16,2400,950,NA,NA,NA
1014,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT UPSTREAM SLAPPER""",Himachal Pradesh,5.8,22,14,8.2,11.5,10,7.5,8.5,8,115,307,225,0.1,0.4,0.2,0.18,1.89,0.6,17,350,159,130,2400,1586,NA,NA,NA
1015,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT DOWNSTREAM SLAPPER""",Himachal Pradesh,5,22,14,8.6,12,10,7.5,8.4,8,169,303,214,0.1,2.4,0.5,0.18,1.86,0.7,22,540,207,240,2400,1606,NA,NA,NA
1016,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT DOWNSTREAM BHAKHRA""",Himachal Pradesh,9,22,17,7.4,9.9,9,7.3,8.7,8,163,293,202,0.1,1,0.5,0,0.57,0.3,2,70,14,6,150,59,NA,NA,NA
1017,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT 100M UPSTREAM OFHEADWORKS- NANGAL""",Punjab,18,22.5,20,6.9,8.2,8,7.4,7.8,8,209,318,272,2.4,3,2.7,1.4,2.2,1.9,110,500,305,110,1500,703,NA,NA,NA
1018,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT 100M DOWNSTREAM -NANGAL""",Punjab,18,22.5,20,6.9,8.2,8,7.4,7.8,8,209,318,272,2.4,3,2.7,1.4,2.2,1.9,110,500,305,110,1500,703,NA,NA,NA
1293,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT 1 KM. DOWNSTREAM OF ZENITH""",Punjab,19,24,22,6.2,7.4,7,7.4,7.9,8,318,592,442,8,13.8,11,3,8.6,5.3,500,3000,1275,1100,9000,4150,NA,NA,NA
1814,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT DOWNSTREAM KIRATPUR SAHIB""",Punjab,19,22,21,7.2,7.8,7,7.2,7.5,7,213,320,279,0.8,2.8,2,1.8,2,2,50,500,178,110,900,503,NA,NA,NA
1019,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT UPSTREAM HEAD WORKS ROPAR""",Punjab,19,22,21,7,7.5,7,7.2,7.5,7,213,390,336,2.8,4,3.3,2.4,4.2,3.3,110,1100,637,500,25000,9000,NA,NA,NA
1380,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT DOWNSTREAM NFL""",Punjab,19,23,21,6,7.6,7,7.4,7.8,8,214,338,288,1.4,3,2.4,2,2.2,2,300,500,433,110,1100,803,NA,NA,NA
1690,"""WATER QUALITY OF RIVER- SATLUJ""","""UPSTREAM BUDHA NALLAH (UPPER)""",Punjab,18,25,22,6.5,6.9,7,7.2,7.4,7,280,287,284,1.6,1.9,2,2.6,5.6,4,300,50000,12975,1100,90000,23625,NA,NA,NA
1020,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT 100M DOWNSTREAM BUDHA NALA CONFL.-LUDHIANA""",Punjab,18,25,22,4.1,4.3,4,6.8,7,7,345,494,388,14,32,22,5.2,23.2,12,9000,50000,29000,26000,90000,64000,NA,NA,NA
1021,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD- JALANDHAR""",Punjab,20,25,23,6.1,7.3,6,7.1,7.2,7,168,502,326,2.4,2.8,2.7,3.2,10.8,6,900,5000,2500,2500,11000,8375,NA,NA,NA
1381,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT DOWNSTREAM EAST BASIN""",Punjab,11,17,15,3.8,4.8,4,7.2,7.6,7,512,640,556,4.5,6.1,5,2.6,7.8,5,9000,35000,22000,21000,50000,40333,NA,NA,NA
1691,"""WATER QUALITY OF RIVER- SATLUJ""","""UPSTREAM HUSSANIWALA - H/W FEROZEPUR""",Punjab,21,25,23,7,7.3,7,7.2,7.4,7,168,370,279,1.8,2.8,2.5,2.6,4,3,50,110,95,500,500,500,NA,NA,NA
1692,"""WATER QUALITY OF RIVER- SATLUJ""","""DOWNSTREAM HUSSANIWALA-H/W FEROZEPUR""",Punjab,22,25,23,6.9,7.2,7,7.2,7.4,7,162,384,283,1.6,2.4,2,2.2,4.3,3,100,110,105,500,700,600,NA,NA,NA
1022,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ AT BRIDGE HARIKE- AMRITSAR""",Punjab,14,22,18,4.2,5.8,5,7,7.6,7,312,598,494,2.5,3.5,3,2,3.2,2.7,110,500,403,500,1100,950,NA,NA,NA
1088,"""WATER QUALITY OF TRIBUTARY STREAMS- RAVI""","""RAVI AT UPSTREAM MADHOPUR""",Himachal Pradesh,14,27,18,7,9.5,8,6.8,8.6,8,109,244,155,0.2,0.9,0.5,0,1.44,0.5,4,13,9,21,180,80,NA,NA,NA
1089,"""WATER QUALITY OF TRIBUTARY STREAMS- RAVI""","""RAVI AT UPSTREAM CHAMBA""",Himachal Pradesh,5.5,14,11,7.6,11.2,9,7.4,8.4,8,93,189,141,0.1,0.8,0.5,0,0.67,0.4,4,9,6,17,170,90,NA,NA,NA
2614,"""WATER QUALITY OF TRIBUTARY STREAMS- RAVI""","""RAVI AT AT CHAMERA RESERVOIR""",Himachal Pradesh,7,20,15,7.8,11.7,9,7.5,8.4,8,100,219,158,0.2,0.8,0.5,0,0.57,0.4,5,11,7,14,170,106,NA,NA,NA
2615,"""WATER QUALITY OF TRIBUTARY STREAMS- RAVI""","""RAVI AT AT DOWNSTREAM CHAMERA III HEP""",Himachal Pradesh,5,12,10,7.9,10.9,9,7.6,8.3,8,82,173,137,0.1,0.6,0.4,0.1,0.48,0.3,2,5,4,8,70,47,NA,NA,NA
2613,"""WATER QUALITY OF TRIBUTARY STREAMS- RAVI""","""RAVI AT DOWNSTREAM OF CHAMBA TOWN""",Himachal Pradesh,5.5,15,11,7.9,11.8,10,7.4,8.5,8,92,565,190,0.1,0.8,0.5,0.11,2.65,0.6,4,13,9,21,350,169,NA,NA,NA
1097,"""WATER QUALITY OF TRIBUTARY STREAMS- RAVI""","""RAVI AT UPSTREAM OF MADHOPURHEADWORKS-GURDASPUR""",Punjab,10.5,16,14,7.4,7.9,8,7.1,7.8,8,130,243,167,0.2,2,0.7,0,1,0.7,9,11,10,50,50,50,NA,NA,NA
1290,"""WATER QUALITY OF TRIBUTARY STREAMS- PARVATI""","""PARVATI BEFORE CONF. TO RIVER BEAS""",Himachal Pradesh,4.5,14,10,8.4,10.3,9,7.2,8.2,8,44,178,84,0.1,0.4,0.2,0.07,0.62,0.3,5,540,125,79,2400,909,NA,NA,NA
2605,"""WATER QUALITY OF TRIBUTARY STREAMS- PARVATI""","""PARVATI AT UPSTREAM MANIKARAN""",Himachal Pradesh,1,10.3,7,8.7,10.6,9,7.2,8.1,8,44,96,65,0.1,0.3,0.1,0.02,0.6,0.3,0,110,27,17,920,217,NA,NA,NA
2606,"""WATER QUALITY OF TRIBUTARY STREAMS- PARVATI""","""PARVATI AT DOWNSTREAM MANIKARAN""",Himachal Pradesh,1.5,11.2,8,8.4,10.6,9,7.1,7.9,8,36,88,62,0.1,0.3,0.2,0.02,0.6,0.3,2,170,43,21,1600,353,NA,NA,NA
1090,"""WATER QUALITY OF TRIBUTARY STREAMS- LARGI""","""LARGI AT DOWNSTREAM""",Himachal Pradesh,5,16,11,8.3,10.4,9,7.2,8.2,8,57,248,101,0.1,0.3,0.2,0.01,1.31,0.4,2,130,53,33,1600,553,NA,NA,NA
1551,"""WATER QUALITY OF TRIBUTARY STREAMS- SIRSA""","""SIRSA - UPSTREAM SITOMAJRI NALLAHGARH""",Himachal Pradesh,10,28,20,6.2,10.1,8,7.6,8.1,8,270,475,364,0.5,12,2.1,0.14,2.96,1.3,4,60,26,12,168,69,NA,NA,NA
1552,"""WATER QUALITY OF TRIBUTARY STREAMS- SIRSA""","""SIRSA - DOWNSTREAM NALAGARH BRIDGE""",Himachal Pradesh,17,32,24,6,14.3,9,7.3,8.4,8,310,872,622,0.5,4,2,0.19,2.91,0.8,8,54,23,30,190,75,NA,NA,NA
1868,"""WATER QUALITY OF TRIBUTARY STREAMS- SIRSA""","""SIRSA AT DOWNSTREAM NALAGARH DISTT. SOLAN""",Himachal Pradesh,17,31,24,5.8,10.5,8,7.5,8.3,8,306,880,583,0.5,2,1.3,0.1,4,1.2,6,88,30,28,240,86,NA,NA,NA
1869,"""WATER QUALITY OF TRIBUTARY STREAMS- SWAN""","""SWAN AT DOWNSTREAM NANGAL DISTT. UNA""",Himachal Pradesh,18,31,24,6.4,11.2,8,7.5,8.8,8,358,514,443,0.1,2.3,1.2,0,2.76,1,2,30,14,12,220,116,NA,NA,NA
2616,"""WATER QUALITY OF TRIBUTARY STREAMS- SIUEL""","""SIUEL AT DOWNSTREAM SURGANI""",Himachal Pradesh,7,17,13,7.2,11.7,9,7.4,8.5,8,101,227,155,0.1,0.6,0.4,0.06,0.98,0.5,4,11,6,34,110,58,NA,NA,NA
1307,"""WATER QUALITY OF TRIBUTARY STREAMS- CHUNT KOL""","""CHUNT KOL (MAULANA AZAD BRIDGE)""",Jammu & Kashmir,7,10,9,4.3,7.5,6,7.3,7.8,8,168,238,209,4,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2607,"""WATER QUALITY OF TRIBUTARY STREAMS- SUKETI KHAD""","""SUKETI KHAD AT DOWNSTREAM SUKETI KHAD""",Himachal Pradesh,7.6,28,19,6.7,10.8,8,7.1,8.6,8,88,329,233,0.3,4,1.1,0.21,1.81,0.9,220,1600,773,1600,2400,2327,NA,NA,NA
2608,"""WATER QUALITY OF TRIBUTARY STREAMS- BINWA""","""BINWA AT DOWNSTREAM PAPROLA/BAIJNATH""",Himachal Pradesh,8.5,25,19,7,8.7,8,7.2,8.4,8,75,136,99,0.1,1,0.5,0.13,1.02,0.5,6,19,11,17,180,100,NA,NA,NA
2609,"""WATER QUALITY OF TRIBUTARY STREAMS- NEUGAL""","""NEUGAL AT DOWNSTREAM THURAL""",Himachal Pradesh,9.5,24,21,7.1,8.3,8,6.7,8.6,8,78,276,129,0.1,0.7,0.4,0.12,1.26,0.6,1,9,6,17,350,113,NA,NA,NA
2610,"""WATER QUALITY OF TRIBUTARY STREAMS- SPITI""","""SPITI AT KHAB""",Himachal Pradesh,1.6,7,5,5.6,9.4,8,7.4,8.6,8,97,424,197,0.1,0.4,0.2,0.01,0.38,0.1,2,240,39,11,1600,252,NA,NA,NA
2612,"""WATER QUALITY OF TRIBUTARY STREAMS- BASPA""","""BASPA AT UPSTREAM RESERVOIR BASPA PROJECT""",Himachal Pradesh,1.3,7,5,6.1,9.3,8,7.6,8.3,8,77.6,320,136,0.1,0.8,0.3,0.03,0.35,0.1,2,94,25,6,540,174,NA,NA,NA
1306,"""WATER QUALITY OF TRIBUTARY STREAMS- GAWKADAL""","""GAWKADAL- SRG (SHERGHARI- SRG)""",Jammu & Kashmir,7,10,9,5.6,9.5,8,7.3,7.8,8,145,240,184,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,"""WATER QUALITY OF TRIBUTARY STREAMS- JHELAM""","""JHELAM AT ANANTNAG DOWNSTREAM""",Jammu & Kashmir,7,21,13,7.5,8.5,8,7.3,7.8,8,180,330,240,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410,"""WATER QUALITY OF TRIBUTARY STREAMS- JHELAM""","""JHELAM AT DALAGATE (INLET)- SRINAGAR""",Jammu & Kashmir,7,10,8,7.2,8,8,7.3,7.6,7,120,192,152,2,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1411,"""WATER QUALITY OF TRIBUTARY STREAMS- JHELAM""","""JHELAM AT CHATTABAL WEIR (OUTLET)""",Jammu & Kashmir,8,9,8,5.5,7,6,7.5,7.8,8,156,189,172,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,"""WATER QUALITY OF RIVER- GANGA""","""BHAGIRATHI AT GANGOTRI""",Uttarakhand,3,8,5.5,8,8.9,8.5,7.7,8.1,7.9,88,102,95,NA,NA,NA,0,0.3,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,"""WATER QUALITY OF RIVER- GANGA""","""ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG""",Uttarakhand,10,21,16.6,8.6,12.2,9.6,7.2,8.7,8,105,193,145,NA,NA,NA,0,0.5,0.08,700,4300,2500,9300,9300,9300,NA,NA,NA
1485,"""WATER QUALITY OF RIVER- GANGA""","""MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG""",Uttarakhand,10,20,16.6,7,9.8,8.8,7.3,8.7,8,67,205,115,NA,NA,NA,0,0.5,0.08,1500,2100,1800,4300,46000,25150,NA,NA,NA
1486,"""WATER QUALITY OF RIVER- GANGA""","""ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG""",Uttarakhand,10,22,17.6,8.6,10.3,9.3,7.6,8.6,8.1,84,194,150,0.6,0.8,0.7,0,0.5,0.08,9300,24000,16650,46000,46000,46000,NA,NA,NA
1487,"""WATER QUALITY OF RIVER- GANGA""","""ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG""",Uttarakhand,12,22,18.4,7.7,11.4,9.1,7.4,8.6,8.1,104,196,141,0.6,1.9,1.2,0,0.6,0.09,900,9300,5100,4300,15000,9650,NA,NA,NA
1488,"""WATER QUALITY OF RIVER- GANGA""","""BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG""",Uttarakhand,12,22,18.3,7.6,9.8,8.6,7.4,8.5,8,92,188,135,1,1,1,0,0.4,0.06,400,900,650,2100,4300,3200,NA,NA,NA
1489,"""WATER QUALITY OF RIVER- GANGA""","""ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG""",Uttarakhand,12,22,18.4,8,10.2,8.7,7.4,8.5,8.1,106,167,132,0.6,0.8,0.7,0,0.5,0.08,9300,46000,27650,24000,110000,67000,NA,NA,NA
1060,"""WATER QUALITY OF RIVER- GANGA""","""GANGA AT RISHIKESH UPSTREAM""",Uttarakhand,11.4,19.5,17.1,8,11,9.1,7,8.4,7.7,94,148,121,0.2,3,1.7,NA,NA,NA,NA,NA,NA,5,200,99,NA,NA,NA
2725,"""WATER QUALITY OF RIVER- GANGA""","""A/C R.SONG NR SATYANARAYAN TEMPLE DOWNSTREAM RAIWALA""",Uttarakhand,16,26,21.9,5.2,11,7.8,6.8,8.6,7.7,117,480,305,1.4,7.6,4.5,NA,NA,NA,800,800,800,1600,35000,4467,NA,NA,NA
1061,"""WATER QUALITY OF RIVER- GANGA""","""GANGA AT HARIDWAR DOWNSTREAM""",Uttarakhand,16.1,24.5,20,4.2,8.8,6.7,6.7,8.5,7.6,122,305,196,0.6,11,5.6,NA,NA,NA,300,2000,1150,200,580000,50917,NA,NA,NA
2727,"""WATER QUALITY OF RIVER- GANGA""","""UPPER GANGA RIVER DOWNSTREAM ROORKEE""",Uttarakhand,12.2,31,19.4,6.4,10.4,8.3,6.8,8.4,7.8,123,208,157,1,3.8,2.5,NA,NA,NA,5,11,8,140,700,377,NA,NA,NA
1062,"""WATER QUALITY OF RIVER- GANGA""","""GANGA AT GARHMUKTESHWAR""",Uttar Pradesh,13.5,25,19.6,7,10,8.2,7.2,7.5,7.4,181,290,221,2.8,4.5,3.4,0,0.73,0.5,310,2100,1162,700,4300,2497,NA,NA,NA
2488,"""WATER QUALITY OF RIVER- GANGA""","""GANGA UPSTREAM- ANOOPSHAHAR""",Uttar Pradesh,13,24,18.3,7,10.6,8.4,7,8,7.4,100,285,196,1.6,3.8,2.8,0,0.74,0.21,110,1100,673,430,2000,1377,NA,NA,NA
2489,"""WATER QUALITY OF RIVER- GANGA""","""GANGA DOWNSTREAM- ANOOPSHAHAR""",Uttar Pradesh,13,24,18.5,7.2,10.5,8.3,7.2,8.2,7.6,110,480,230,2.2,6.1,3.6,0,0.96,0.23,150,1200,783,640,2400,1713,NA,NA,NA
1145,"""WATER QUALITY OF RIVER- GANGA""","""GANGA AT NARORA (BULANDSAHAR)""",Uttar Pradesh,14,25,19.2,7.4,11.6,8.7,7,7.8,7.5,110,240,189,1.9,6.6,3.1,0,0.8,0.23,70,610,420,150,1400,850,NA,NA,NA
2490,"""WATER QUALITY OF RIVER- GANGA""","""AT KACHHLA GHAT- ALIGARH""",Uttar Pradesh,14,25.8,20.3,7.6,9.2,8.3,7.2,7.7,7.4,116,289,206,2.2,6.8,3.7,0,0.95,0.28,300,1300,840,930,2600,1743,NA,NA,NA
1063,"""WATER QUALITY OF RIVER- GANGA""","""GANGA AT KANNAUJ UPSTREAM (RAJGHAT)""",Uttar Pradesh,15,32,25.6,6,9.8,7.9,7.1,8.5,8,53,541,327,3.4,6.2,4.5,0,5.46,2.25,700,9000,3042,2800,20000,10075,NA,NA,NA
1066,"""WATER QUALITY OF RIVER- GANGA""","""GANGA AT KANNAUJ DOWNSTREAM""",Uttar Pradesh,15,32,25.6,6,10.1,7.8,7.2,8.6,8,55,544,324,4.2,9,5.5,0.98,4.33,2.25,900,9000,3508,4300,49000,20208,NA,NA,NA
